episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
73,1.467483651055578,1,0,7,1,0,1,1258,7,7,False,,0.6295057491653132,2.0,12.97998459167036,12.97998459167036,10.38398767333629,6,501.6,518.5034067865586,16.90340678655855,0.04950640191824328,0.34748365105557827
74,3.000543114277601,1,0,29,1,0,1,5692,29,29,False,,0.6000400264198348,2.0,12.97998459167036,12.97998459167036,9.968628166402839,28,552.0,542.6166027101053,9.383397289894674,0.049847372065693105,1.440543114277601
75,1.817594064865959,1,0,12,1,0,1,2675,12,12,False,,0.6198109460806815,2.0,12.97998459167036,12.97998459167036,10.38398767333629,11,400.79999999999995,387.3940558390825,13.405944160917443,0.04968895875660627,0.597594064865959
76,1.3984112089196234,1,0,6,1,0,1,1233,6,6,False,,-0.5791041397215807,1.5,12.979984591670359,12.979984591670359,8.653323061113573,5,98.4,96.13717497833909,2.262825021660916,0.04999111124665368,0.29841120891962336
77,1.4665160708801515,1,0,7,1,0,1,1538,7,7,False,,-0.5592757893539371,1.5,12.979984591670359,12.979984591670359,8.653323061113573,6,249.60000000000002,240.93340915470458,8.666590845295445,0.04986977093823003,0.3465160708801513
78,2.0241974120659307,1,0,15,1,0,1,3028,15,15,False,,0.810040777164349,2.0,12.97998459167036,12.97998459167036,7.974902533122273,14,400.79999999999995,401.8016221088351,1.0016221088351358,0.04999825828233494,0.7441974120659306
79,1.814325929970116,1,0,12,1,0,1,2285,12,12,False,,0.5709989571982164,1.5,12.460785208003548,12.460785208003548,8.307190138669032,11,552.0,527.3834269554725,24.616573044527513,0.04895894959418264,0.594325929970116
80,1.607718253064565,1,0,9,1,0,1,1927,9,9,False,,0.575645147571106,1.5,12.97998459167036,12.97998459167036,8.653323061113575,8,552.0,557.266320769897,5.266320769896993,0.0499518736373627,0.44771825306456503
81,1.187671581027878,1,0,3,1,0,1,647,3,3,False,,0.7700118136599968,2.0,12.97998459167036,12.97998459167036,7.211102550927978,2,249.60000000000002,230.26730678458216,19.332693215417862,0.04935531547322833,0.14767158102787808
82,1.3983742191371813,1,0,6,1,0,1,1360,6,6,False,,0.5603225182353739,1.5,12.979984591670359,12.979984591670359,8.653323061113573,5,350.4,362.0401069933787,11.640106993378708,0.04976532313730727,0.29837421913718126
83,1.465424188779765,1,0,7,1,0,1,1414,7,7,False,,-0.7494749808681692,2.0,12.97998459167036,12.97998459167036,8.307190138669034,6,451.20000000000005,452.0607324858204,0.8607324858203356,0.04999871380055007,0.3454241887797651
84,1.257878779773935,1,0,4,1,0,1,931,4,4,False,,0.628120724946767,2.0,12.97998459167036,12.97998459167036,8.653323061113577,3,501.6,506.6553110854559,5.055311085455855,0.049955651328693375,0.19787877977393506
85,1.258020060867084,1,0,4,1,0,1,810,4,4,False,,0.6499350362732172,2.0,12.97998459167036,12.97998459167036,7.55023025664862,3,552.0,537.6524820902487,14.347517909751332,0.049643893494535914,0.1980200608670839
86,2.3707108346170953,1,0,20,1,0,1,3859,20,20,False,,-0.7105345673566392,2.0,12.97998459167036,12.97998459167036,7.974902533122272,19,552.0,573.0193736694152,21.019373669415245,0.04923881519208742,0.9907108346170953
87,1.53548761240575,1,0,8,1,0,1,1686,8,8,False,,0.6165443529791947,2.0,12.97998459167036,12.97998459167036,8.653323061113573,7,400.79999999999995,377.285405604508,23.51459439549194,0.04904919791918967,0.3954876124057499
88,2.6512888246562225,1,0,24,1,0,1,4715,24,24,False,,0.8369069783779111,2.0,12.97998459167036,12.97998459167036,10.383987673336286,23,501.6,526.256927930106,24.656927930106008,0.048955569458353776,1.1912888246562225
89,2.234908210910446,1,0,18,1,0,1,3799,18,18,False,,-0.5506624915405126,1.5,12.97998459167036,12.979984591670359,10.383987673336286,17,148.8,164.4415369808405,15.641536980840499,0.04957704613728901,0.8949082109104457
90,1.467374381423912,1,0,7,1,0,1,1400,7,7,False,,-0.6425371200373846,2.0,12.97998459167036,12.97998459167036,10.38398767333629,6,98.4,90.40519641074457,7.99480358925544,0.04988915623204543,0.3473743814239121
91,1.885105648597514,1,0,13,1,0,1,2642,13,13,False,,-0.6159842569425109,2.0,12.97998459167036,12.97998459167036,10.38398767333629,12,148.8,156.35732699979826,7.557326999798249,0.049900943405727656,0.6451056485975141
92,1.4663372750287738,1,0,7,1,0,1,1426,7,7,False,,0.584180338024747,1.5,12.97998459167036,12.97998459167036,9.968628166402837,6,501.6,481.4073015348895,20.19269846511054,0.04929709677908981,0.34633727502877376
93,1.7451868642590036,1,0,11,1,0,1,2514,11,11,False,,-0.6906688070056248,2.0,12.97998459167036,12.97998459167036,10.38398767333629,10,148.8,149.42252295511798,0.6225229551179723,0.04999932720100293,0.5451868642590036
94,1.187746878570093,1,0,3,1,0,1,672,3,3,False,,-0.598353123831221,1.5,12.979984591670357,12.979984591670357,8.653323061113573,2,148.8,126.88731634088936,21.912683659110655,0.04917328976432688,0.14774687857009305
95,1.2577998895232714,1,0,4,1,0,1,714,4,4,False,,0.5647828687251462,1.5,12.97998459167036,12.97998459167036,10.38398767333629,3,451.20000000000005,475.55907399890043,24.359073998900385,0.04898039283878584,0.19779988952327146
96,1.188280130431812,1,0,3,1,0,1,665,3,3,False,,-0.6343843175921051,2.0,12.97998459167036,12.97998459167036,8.653323061113573,2,148.8,163.5338931841411,14.733893184141095,0.049624528675976005,0.14828013043181204
97,1.1182320570130715,1,0,2,1,0,1,387,2,2,False,,-0.6363099247933064,2.0,12.97998459167036,12.979984591670362,7.99264737654396,1,98.4,119.25798229543898,20.857982295438973,0.04925037167386799,0.09823205701307156
98,1.0492967586821256,1,0,1,1,0,1,191,1,1,False,,0.7928428428883336,2.0,12.497793850496251,12.497793850496251,7.211102550927978,0,300.0,320.197588781562,20.19758878156199,0.04929675868212555,0.04929675868212555
99,2.6531298130865686,1,0,24,1,0,1,4812,24,24,False,,-0.5337350078712493,1.5,12.97998459167036,12.97998459167036,10.38398767333629,23,98.4,110.60727184317989,12.207271843179882,0.04974195724752558,1.1931298130865684
100,1.7470339359014981,1,0,11,1,0,1,2250,11,11,False,,-0.7060352981075567,2.0,12.97998459167036,12.97998459167036,10.383987673336286,10,300.0,304.7533574092531,4.753357409253113,0.04996078898263028,0.5470339359014981
101,1.9550187684513225,1,0,14,1,0,1,2795,14,14,False,,0.5587005193131944,1.5,12.460785208003548,12.460785208003548,8.307190138669032,13,552.0,562.5658041078627,10.565804107862732,0.04980656227365253,0.6950187684513225
102,2.165897244636719,1,0,17,1,0,1,3515,17,17,False,,0.6477427435775794,2.0,12.97998459167036,12.97998459167036,9.96862816640284,16,400.79999999999995,393.58136810562655,7.218631894373402,0.049909615392312257,0.8458972446367192
103,2.096046505177756,1,0,16,1,0,1,3529,16,16,False,,-0.7270269267892404,2.0,12.97998459167036,12.979984591670362,10.383987673336287,15,552.0,538.1383502761041,13.86164972389588,0.04966752467553113,0.7960465051777557
104,1.2577136606759354,1,0,4,1,0,1,917,4,4,False,,-0.7463221465279753,2.0,12.97998459167036,12.97998459167036,7.211102550927978,3,451.20000000000005,464.3888754040229,13.188875404022838,0.049698919810804765,0.19771366067593543
105,2.0248147438147046,1,0,15,1,0,1,3003,15,15,False,,-0.5394186582534417,1.5,12.97998459167036,12.97998459167036,10.38398767333629,14,199.2,195.75417635620795,3.445823643792039,0.049979390185298136,0.7448147438147047
106,1.7466830234961757,1,0,11,1,0,1,2471,11,11,False,,0.5253708592959896,1.5,12.979984591670357,12.979984591670357,8.653323061113573,10,501.6,516.9648137478698,15.364813747869789,0.049591818471769154,0.5466830234961755
107,1.5377371906947856,1,0,8,1,0,1,1611,8,8,False,,0.5705229581612429,1.5,12.460785208003548,12.460785208003548,8.307190138669032,7,451.20000000000005,441.643629194461,9.556370805539018,0.049841702114137215,0.39773719069478564
108,1.9546086466824808,1,0,14,1,0,1,3143,14,14,False,,0.6148388131862845,2.0,12.97998459167036,12.97998459167036,7.211102550927978,13,350.4,372.0279424041396,21.627942404139617,0.0491944624193533,0.694608646682481
109,1.6753743387784783,1,0,10,1,0,1,2160,10,10,False,,-0.5518793566107817,1.5,12.979984591670359,12.979984591670359,8.653323061113573,9,199.2,211.4245050142904,12.2245050142904,0.04974123005825736,0.4953743387784785
110,1.1186796524992786,1,0,2,1,0,1,392,2,2,False,,-0.6495548728926082,2.0,12.97998459167036,12.97998459167036,7.84448134995068,1,98.4,111.50943123395928,13.10943123395927,0.04970252526540956,0.09867965249927854
111,2.232992227604811,1,0,18,1,0,1,3736,18,18,False,,-0.5457313747365233,1.5,12.979984591670359,12.979984591670359,8.653323061113573,17,148.8,127.83156501912708,20.968434980872928,0.04924247200045126,0.8929922276048109
112,1.1188835910604737,1,0,2,1,0,1,397,2,2,False,,-0.6477924878028049,2.0,12.97998459167036,12.979984591670359,7.633632746093245,1,48.0,55.38010073432156,7.380100734321559,0.04990553052605215,0.09888359106047379
113,1.1185393078685697,1,0,2,1,0,1,452,2,2,False,,-0.6020890465926442,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,98.4,115.64008281117663,17.24008281117662,0.04948664576883182,0.09853930786856974
114,1.0499858425761552,1,0,1,1,0,1,188,1,1,False,,-0.7991425658909813,2.0,12.97998459167036,12.979984591670362,7.211102550927978,0,249.60000000000002,252.45584153002983,2.8558415300298066,0.0499858425761552,0.0499858425761552
115,1.673741990383118,1,0,10,1,0,1,1936,10,10,False,,-0.7196645069476804,2.0,12.97998459167036,12.97998459167036,8.307190138669032,9,552.0,565.5400830494552,13.540083049455234,0.04968272299356991,0.4937419903831181
116,1.3978421980946574,1,0,6,1,0,1,1267,6,6,False,,0.770844121454067,2.0,12.97998459167036,12.97998459167036,10.383987673336287,5,249.60000000000002,233.6805072618131,15.919492738186932,0.049561947113969725,0.2978421980946573
117,1.0498424933001758,1,0,1,1,0,1,196,1,1,False,,0.8454385717149648,2.0,12.724370993713713,12.724370993713713,7.211102550927978,0,552.0,561.5324213115359,9.532421311535927,0.049842493300175844,0.049842493300175844
118,1.2577124448157075,1,0,4,1,0,1,744,4,4,False,,0.7193405498680534,2.0,12.97998459167036,12.979984591670359,10.383987673336287,3,48.0,33.26323124831288,14.736768751687123,0.049624382654500594,0.19771244481570738
119,1.5362698399508998,1,0,8,1,0,1,1523,8,8,False,,-0.5699916036486254,1.5,12.97998459167036,12.97998459167036,10.38398767333629,7,48.0,69.71210557748464,21.712105577484635,0.04918823213714646,0.3962698399508999
